file,t,k,s
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 40, 3, 10
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case121.cnf, 183, 3, 26
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case52.cnf, 91, 3, 28
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring70.cnf, 674, 3, 24
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 8, 3, 8
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring14.cnf, 1107, 3, 96
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case58.cnf, 44, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_ptb_2.cnf, 2127, 3, 79
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case7.cnf, 68, 3, 14
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case207.cnf, 775, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case144.cnf, 516, 3, 44
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 21, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case118.cnf, 149, 3, 53
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even1.cnf, 1915, 3, 64
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring4.cnf, 665, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case4.cnf, 54, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_device_1_linear.cnf, 835, 3, 88
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf, 1089, 3, 62
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_even3.cnf, 2879, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case15.cnf, 233, 3, 18
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case124.cnf, 62, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case214.cnf, 548, 3, 76
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 177, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_device_1_even_linear.cnf, 1436, 3, 88
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf, 721, 3, 76
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_even2_linear.cnf, 6226, 3, 82
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case131.cnf, 226, 3, 68
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case146.cnf, 167, 3, 18
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case62.cnf, 156, 3, 43
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 189, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case12.cnf, 534, 3, 34
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case203.cnf, 187, 3, 58
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf, 949, 3, 59
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring25.cnf, 439, 3, 115
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case114.cnf, 228, 3, 55
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even2.cnf, 1905, 3, 60
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case138.cnf, 728, 3, 20
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case18.cnf, 327, 3, 20
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case211.cnf, 650, 3, 118
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case40.cnf, 189, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring60.cnf, 4150, 3, 40
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring8.cnf, 837, 3, 48
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case68.cnf, 119, 3, 15
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_4_b14_even.cnf, 949, 3, 59
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring2.cnf, 661, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_even3_linear.cnf, 6176, 3, 66
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case1.cnf, 94, 3, 49
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case19.cnf, 257, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case11.cnf, 65, 3, 28
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case10.cnf, 233, 3, 18
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case106.cnf, 139, 3, 24
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring29.cnf, 688, 3, 223
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case137.cnf, 19, 3, 8
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf, 177, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case110.cnf, 141, 3, 51
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring27.cnf, 439, 3, 118
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case38.cnf, 81, 3, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring41.cnf, 2803, 3, 72
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_2_linear.cnf, 1385, 3, 82
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case115.cnf, 229, 3, 55
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case8.cnf, 98, 3, 27
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_ptb_2.cnf, 2127, 3, 79
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring28.cnf, 587, 3, 134
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_even1.cnf, 1915, 3, 64
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case120.cnf, 177, 3, 26
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case14.cnf, 183, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring12.cnf, 1125, 3, 108
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case21.cnf, 53, 3, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring16.cnf, 1255, 3, 122
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case64.cnf, 42, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf, 211, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring9.cnf, 1063, 3, 90
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf, 1004, 3, 62
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case117.cnf, 151, 3, 53
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_ptb_1_linear.cnf, 1540, 3, 119
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf, 189, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf, 184, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_even2.cnf, 1905, 3, 60
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case25.cnf, 48, 3, 13
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring51.cnf, 316, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case39.cnf, 189, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case136.cnf, 99, 3, 15
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case213.cnf, 548, 3, 76
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case141.cnf, 2470, 3, 106
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case44.cnf, 109, 3, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring11.cnf, 728, 3, 44
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case125.cnf, 168, 3, 51
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring22.cnf, 345, 3, 83
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case30.cnf, 48, 3, 13
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring40.cnf, 2787, 3, 72
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_ptb_2.cnf, 2425, 3, 74
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring6.cnf, 661, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case47.cnf, 80, 3, 14
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case57.cnf, 154, 3, 43
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case132.cnf, 123, 3, 42
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case34.cnf, 197, 3, 43
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring23.cnf, 356, 3, 86
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b14_even.cnf, 797, 3, 59
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring3.cnf, 661, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case36.cnf, 23, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_ptb_2_linear.cnf, 2949, 3, 81
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case22.cnf, 53, 3, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case103.cnf, 21, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case135.cnf, 123, 3, 42
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b14_3.cnf, 177, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case202.cnf, 175, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case142.cnf, 1802, 3, 84
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_even3_linear.cnf, 6226, 3, 82
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case209.cnf, 847, 3, 65
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case20.cnf, 257, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b14_even.cnf, 797, 3, 59
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_even_linear.cnf, 6176, 3, 66
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring21.cnf, 347, 3, 83
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf, 387, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf, 241, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case23.cnf, 36, 3, 11
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case204.cnf, 187, 3, 58
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf, 387, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring7.cnf, 1222, 3, 98
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case32.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case3_b14_even3.cnf, 797, 3, 59
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case119.cnf, 170, 3, 26
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case100.cnf, 29, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring30.cnf, 587, 3, 134
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case101.cnf, 29, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case212.cnf, 847, 3, 65
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case104.cnf, 1965, 3, 190
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case45.cnf, 67, 3, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf, 184, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case208.cnf, 775, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case134.cnf, 19, 3, 8
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_1.cnf, 241, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59.cnf, 42, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case35.cnf, 200, 3, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case140.cnf, 394, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case43.cnf, 67, 3, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf, 184, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring24.cnf, 345, 3, 83
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even1.cnf, 1915, 3, 64
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case59_1.cnf, 42, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case49.cnf, 645, 3, 185
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf, 387, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case111.cnf, 148, 3, 53
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf, 211, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case51.cnf, 91, 3, 28
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case145.cnf, 167, 3, 18
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case61.cnf, 178, 3, 14
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case3.cnf, 142, 3, 60
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_even7_linear.cnf, 6226, 3, 82
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case6.cnf, 179, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case1_b14_even3.cnf, 809, 3, 65
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case17.cnf, 36, 3, 11
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even3.cnf, 2879, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case126.cnf, 127, 3, 35
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case108.cnf, 153, 3, 37
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_ptb_1.cnf, 1019, 3, 65
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case27.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_ptb_1.cnf, 721, 3, 76
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case105.cnf, 137, 3, 21
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case31.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring5.cnf, 661, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case41.cnf, 189, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf, 189, 3, 56
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case205.cnf, 187, 3, 58
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring26.cnf, 497, 3, 192
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case50.cnf, 450, 3, 80
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf, 241, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case63.cnf, 44, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case130.cnf, 359, 3, 78
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b12_1_linear.cnf, 1190, 3, 111
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case127.cnf, 21, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case24.cnf, 40, 3, 10
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case53.cnf, 91, 3, 28
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case133.cnf, 99, 3, 15
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring42.cnf, 2787, 3, 72
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case201.cnf, 175, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case139.cnf, 633, 3, 24
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_3_linear.cnf, 1279, 3, 62
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring1.cnf, 669, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case37.cnf, 957, 3, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring20.cnf, 345, 3, 83
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case107.cnf, 497, 3, 33
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case116.cnf, 229, 3, 55
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case112.cnf, 88, 3, 35
/home/users/ozeyen/Benchmarks/LoginService2.sk_23_36.cnf, 2399, 3, 161
/home/users/ozeyen/Benchmarks/UserServiceImpl.sk_8_32.cnf, 524, 3, 75
/home/users/ozeyen/Benchmarks/71.sk_3_65.cnf, 291, 3, 124
/home/users/ozeyen/Benchmarks/ConcreteActivityService.sk_13_28.cnf, 753, 3, 124
/home/users/ozeyen/Benchmarks/30.sk_5_76.cnf, 105, 3, 29
/home/users/ozeyen/Benchmarks/SetTest.sk_9_21.cnf, 9, 3, 42
/home/users/ozeyen/Benchmarks/55.sk_3_46.cnf, 51, 3, 14
/home/users/ozeyen/Benchmarks/tutorial2.sk_3_4.cnf, 0, 1, 1
/home/users/ozeyen/Benchmarks/Pollard.sk_1_10.cnf, 3401, 3, 976
/home/users/ozeyen/Benchmarks/PhaseService.sk_14_27.cnf, 736, 3, 87
/home/users/ozeyen/Benchmarks/tableBasedAddition.sk_240_1024.cnf, 0, 1, 1
/home/users/ozeyen/Benchmarks/107.sk_3_90.cnf, 41, 3, 14
/home/users/ozeyen/Benchmarks/109.sk_4_36.cnf, 42, 3, 14
/home/users/ozeyen/Benchmarks/ActivityService2.sk_10_27.cnf, 616, 3, 114
/home/users/ozeyen/Benchmarks/63.sk_3_64.cnf, 86, 3, 26
/home/users/ozeyen/Benchmarks/doublyLinkedList.sk_8_37.cnf, 296, 3, 42
/home/users/ozeyen/Benchmarks/LoginService.sk_20_34.cnf, 1409, 3, 176
/home/users/ozeyen/Benchmarks/56.sk_6_38.cnf, 53, 3, 19
/home/users/ozeyen/Benchmarks/ProcessBean.sk_8_64.cnf, 1782, 3, 144
/home/users/ozeyen/Benchmarks/sort.sk_8_52.cnf, 2221, 3, 424
/home/users/ozeyen/Benchmarks/29.sk_3_45.cnf, 33, 3, 21
/home/users/ozeyen/Benchmarks/7.sk_4_50.cnf, 28, 3, 16
/home/users/ozeyen/Benchmarks/polynomial.sk_7_25.cnf, 25, 3, 30
/home/users/ozeyen/Benchmarks/FeatureModels/integrator_arm9.cnf, 278, 3, 369
/home/users/ozeyen/Benchmarks/FeatureModels/phycore.cnf, 206, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/iq80310.cnf, 212, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/pc_i82544.cnf, 204, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/snds.cnf, 204, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/prpmc1100.cnf, 198, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/XSEngine.cnf, 208, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mbx.cnf, 195, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/flexanet.cnf, 226, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/uE250.cnf, 209, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/cme555.cnf, 188, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/eb40.cnf, 205, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/aaed2000.cnf, 274, 3, 368
/home/users/ozeyen/Benchmarks/FeatureModels/at91sam7xek.cnf, 217, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/npwr.cnf, 212, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/sh7708.cnf, 259, 3, 212
/home/users/ozeyen/Benchmarks/FeatureModels/m5272c3.cnf, 200, 3, 186
/home/users/ozeyen/Benchmarks/FeatureModels/edosk2674.cnf, 188, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/assabet.cnf, 216, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mcb2100.cnf, 202, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/vrc4375.cnf, 196, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/ebsa285.cnf, 226, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/aeb.cnf, 202, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/frv400.cnf, 195, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/e7t.cnf, 208, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/pc_usb_d12.cnf, 207, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/calm16_ceb.cnf, 180, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mb93091.cnf, 201, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/brutus.cnf, 196, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/ixdp425.cnf, 208, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/sparc_leon.cnf, 173, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/sa1100mm.cnf, 198, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/asb2305.cnf, 183, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/linux.cnf, 216, 3, 191
/home/users/ozeyen/Benchmarks/FeatureModels/sparc_erc32.cnf, 173, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/lpcmt.cnf, 202, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/dreamcast.cnf, 199, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/olpcl2294.cnf, 216, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/h8s_sim.cnf, 173, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/ec555.cnf, 188, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/fads.cnf, 174, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/smdk2410.cnf, 261, 3, 368
/home/users/ozeyen/Benchmarks/FeatureModels/cerf.cnf, 227, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/integrator_arm7.cnf, 215, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mace1.cnf, 199, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/picasso.cnf, 208, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/pati.cnf, 191, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/asb.cnf, 183, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/nano.cnf, 227, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/olpch2294.cnf, 204, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/cma28x.cnf, 181, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/eb55.cnf, 211, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/vads.cnf, 199, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/iq80321.cnf, 212, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/malta_mips64_5kc.cnf, 196, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/cq7708.cnf, 247, 3, 210
/home/users/ozeyen/Benchmarks/FeatureModels/eb40a.cnf, 205, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/h8300h_sim.cnf, 173, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/ts1000.cnf, 194, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/ea2468.cnf, 221, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mpc50.cnf, 194, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/mb93093.cnf, 194, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/sleb.cnf, 175, 3, 185
/home/users/ozeyen/Benchmarks/FeatureModels/sam7ex256.cnf, 217, 3, 185
