file,t,k,s
/home/users/ozeyen/Benchmarks/19.sk_3_48.cnf, 67, 3, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case55.cnf, 98, 3, 24
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case122.cnf, 130, 3, 43
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_2_b12_even3.cnf, 2879, 3, 57
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even2.cnf, 1905, 3, 60
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case109.cnf, 175, 3, 37
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case54.cnf, 112, 3, 51
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case56.cnf, 112, 3, 51
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring10.cnf, 837, 3, 48
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case210.cnf, 650, 3, 118
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 31, 3, 16
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case46.cnf, 112, 3, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 3, 3, 5
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 3, 3, 5
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case123.cnf, 122, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case5.cnf, 114, 3, 15
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring50.cnf, 316, 3, 32
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case9.cnf, 183, 3, 12
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case143.cnf, 315, 3, 52
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 444, 3, 75
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_even2_linear.cnf, 7292, 3, 66
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case42.cnf, 674, 3, 58
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 21, 3, 19
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case2.cnf, 142, 3, 60
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case113.cnf, 151, 3, 53
