file, cost
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case200.cnf, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case206.cnf, 23
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case60.cnf, 21
/home/users/ozeyen/Benchmarks/V15/s27_new_15_7.cnf, 14
/home/users/ozeyen/Benchmarks/V3/s27_new_3_2.cnf, 12
/home/users/ozeyen/Benchmarks/V7/s27_new_7_4.cnf, 14
/home/users/ozeyen/Benchmarks/V3/s27_3_2.cnf, 20
/home/users/ozeyen/Benchmarks/V7/s27_7_4.cnf, 22
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case103.cnf, 34
/home/users/ozeyen/Benchmarks/V15/s27_15_7.cnf, 21
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case102.cnf, 33
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case127.cnf, 38
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case128.cnf, 38
/home/users/ozeyen/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 30
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case28.cnf, 40
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf, 40
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case27.cnf, 42
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case32.cnf, 42
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case26.cnf, 39
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case31.cnf, 39
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case134.cnf, 31
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case137.cnf, 29
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case36.cnf, 44
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case24.cnf, 44
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case29.cnf, 44
/home/users/ozeyen/Benchmarks/tutorial1.sk_1_1.cnf, 0
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case25.cnf, 47
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case30.cnf, 47
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case100.cnf, 35
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case101.cnf, 29
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case17.cnf, 48
