,\spur,\unigen,D4,sharpSAT,\spur fm,\unigen fm,D4 fm,sharpSAT fm
cnst 0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cnst 1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
DT,0.9040441176470588,0.9708505032763627,0.9326797385620914,0.8778186274509805,0.696031746031746,1.0,0.8333333333333333,0.8
RF 10,0.8677696078431372,0.9597041140309396,0.94296918767507,0.8914215686274509,0.6,1.0,0.8333333333333333,0.596031746031746
RF 100,0.8851715686274509,0.9793960683645206,0.9509056956115779,0.8776960784313724,0.7,1.0,0.8333333333333333,0.696031746031746
RF 1000,0.8776960784313724,0.9771836789839897,0.9509056956115779,0.8839460784313725,0.7,1.0,0.8333333333333333,0.696031746031746
