file,#eqv,#mis,tw,deff,lp,t,k,s,cost,#var,#clause,#literal,state_z3,mem_z3,time_z3
/home/users/ozeyen/Benchmarks/NotificationServiceImpl2.sk_10_36.cnf,1070,152,73,9885,9888.0,543,12,367,235,3540,13425,32394,done,24854,0.00875306
/home/users/ozeyen/Benchmarks/56.sk_6_38.cnf,80,38,53,12986,12992.0,1763,6,441,263,4842,17828,40086,done,24748,0.00875722
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case123.cnf,139,36,26,713,713.0,267,3,342,94,267,980,2798,done,23089,0.00218777
/home/users/ozeyen/Benchmarks/19.sk_3_48.cnf,97,51,126,16874,16883.0,2313,6,618,509,6993,23867,57608,done,26406,0.0142794
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_squaring26.cnf,498,29,41,2293,2293.0,883,3,601,146,894,3187,8885,done,24391,0.00872608
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case_1_b12_even1.cnf,1916,149,70,5811,5811.0,2681,3,591,220,2681,8492,22143,done,24707,0.00548849
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case33.cnf,32,11,7,92,92.0,51,3,25,41,51,143,391,done,23089,0.00225933
/home/users/ozeyen/Benchmarks/isolateRightmost.sk_7_481.cnf,5642,2883,106,25218,25251.0,9477,3,676,488,10057,35275,92867,done,34840,0.0666015
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case41.cnf,198,62,14,405,405.0,245,3,103,54,245,650,1782,done,23089,0.00218937
/home/users/ozeyen/Benchmarks/77.sk_3_44.cnf,67,38,87,13038,13049.0,253,18,525,210,14535,27573,55773,done,27578,0.0152923
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case119.cnf,179,54,19,520,520.0,267,3,105,78,267,787,2173,done,23089,0.00223067
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_case144.cnf,517,102,28,1575,1575.0,765,3,279,108,765,2340,6460,done,23797,0.00325973
/home/users/ozeyen/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf,1090,136,57,3393,3393.0,1570,3,713,202,1570,4963,13517,done,24240,0.00446374
